Year,AAPL 52-Week High,AAPL 52-Week Low,CVX 52-Week High,CVX 52-Week Low,MSFT 52-Week High,MSFT 52-Week Low,XOM 52-Week High,XOM 52-Week Low,Average Closing Price,Year Open,Year High,Year Low,Year Close,Annual % Change,Fed_Interest_Payments,Inflation_Consumer_Prices_for_the_United_States,GDP,Federal_Debt_Total_Public_Debt_as_Percent_of_GDP,Unemployment_Rate,Federal_Government_Current_Tax_Receipts
1997,0.26395100355148315,0.11383900046348572,44.59375,30.875,18.84375,10.09375,33.625,24.125,873.43,737.01,983.79,737.01,970.43,31.01,365.6,2.33768993730735,8577.5525,63.17769,4.941666666666666,1015.09075
1998,0.390625,0.12053599953651428,45.09375,33.875,36.0,15.546875,38.65625,28.3125,1085.5,975.04,1241.81,927.69,1229.23,26.67,365.569,1.55227909874364,9062.81675,61.3389325,4.5,1095.258
1999,1.0535709857940674,0.2857140004634857,52.46875,36.5625,59.96875,34.0,43.625,32.15625,1327.33,1228.1,1469.25,1212.19,1469.25,19.53,352.18375000000003,2.18802719697358,9631.17175,58.9942875,4.216666666666667,1174.53725
2000,1.3426339626312256,0.24330399930477142,47.4375,34.96875,59.3125,20.15625,47.71875,34.9375,1427.22,1455.22,1527.46,1264.74,1320.28,-10.14,353.72825,3.37685727149929,10250.952,55.61407,3.966666666666667,1288.53125
2001,0.48428601026535034,0.2578130066394806,49.244998931884766,39.21875,38.07500076293945,21.4375,45.834999084472656,35.0099983215332,1192.57,1283.27,1373.73,965.8,1148.08,-13.04,331.2255,2.82617111885407,10581.929,54.931445,4.741666666666666,1226.82275
2002,0.4673210084438324,0.23857100307941437,45.79999923706055,32.70500183105469,35.310001373291016,20.704999923706055,44.56999969482422,29.75,993.93,1154.67,1172.51,776.76,879.82,-23.37,301.27125,1.58603162650601,10929.10825,56.6450625,5.783333333333334,1053.18425
2003,0.44660699367523193,0.22714300453662872,43.494998931884766,30.655000686645508,30.0,22.549999237060547,41.130001068115234,31.579999923706055,965.23,909.03,1111.92,800.73,1111.92,26.38,291.72075,2.27009497336115,11456.4495,58.717535,5.991666666666667,1053.864
2004,1.2423210144042969,0.3782140016555786,56.06999969482422,41.994998931884766,30.200000762939453,24.010000228881836,52.04999923706055,39.90999984741211,1130.65,1108.48,1213.55,1063.23,1211.92,8.99,306.022,2.67723669309172,12217.19575,60.1163825,5.541666666666667,1140.5965
2005,2.694999933242798,1.1178569793701172,65.9800033569336,49.810001373291016,28.25,23.81999969482422,65.95999908447266,49.25,1207.23,1202.08,1272.74,1137.5,1248.29,3.0,344.37475,3.3927468454955,13039.197,60.8082975,5.083333333333333,1367.82325
2006,3.3271429538726807,1.791429042816162,76.19999694824219,53.7599983215332,30.260000228881836,21.459999084472656,79.0,56.41999816894531,1310.46,1268.8,1427.09,1223.69,1418.3,13.62,372.212,3.22594410070404,13815.583,61.4843825,4.608333333333333,1534.7755
2007,7.248570919036865,2.924999952316284,95.5,64.98999786376953,37.5,26.600000381469727,95.2699966430664,69.0199966430664,1477.18,1416.6,1565.15,1374.12,1468.36,3.53,407.978,2.85267248150138,14474.227,62.098165,4.616666666666666,1607.65675
2008,7.1521430015563965,2.8264288902282715,104.62999725341797,55.5,35.959999084472656,17.5,96.12000274658203,56.5099983215332,1220.04,1447.16,1447.16,752.44,903.25,-38.49,388.3975,3.839100296651,14769.86175,67.13855,5.8,1489.516
2009,7.64107084274292,2.7928569316864014,79.81999969482422,56.119998931884766,31.5,14.869999885559082,82.7300033569336,61.86000061035156,948.05,931.8,1127.78,676.53,1115.1,23.45,354.53275,-0.355546266299747,14478.06725,80.9604425,9.283333333333331,1123.66525
2010,11.666428565979004,6.794642925262451,92.38999938964844,66.83000183105469,31.579999923706055,22.729999542236328,73.69000244140625,55.939998626708984,1139.97,1132.99,1259.78,1022.58,1257.64,12.78,381.48725,1.6400434423899,15048.971,88.9541725,9.608333333333334,1273.59775
