DATE,SPPOPGROWHIC
1961-01-01,1.25364865778405
1962-01-01,1.26647107609632
1963-01-01,1.23871728270086
1964-01-01,1.22054958023831
1965-01-01,1.16941614696648
1966-01-01,1.09956342741289
1967-01-01,1.04388446746475
1968-01-01,1.02124985719708
1969-01-01,1.02327059909651
1970-01-01,1.00626481849839
1971-01-01,1.1847861023256
1972-01-01,1.02676378492102
1973-01-01,0.981948008619042
1974-01-01,0.953860770805264
1975-01-01,0.922334808044951
1976-01-01,0.850227295549089
1977-01-01,0.832274275077594
1978-01-01,0.833084377554187
1979-01-01,0.855592499889511
1980-01-01,0.820445873580795
1981-01-01,0.807849383613217
1982-01-01,0.754979524480632
1983-01-01,0.696485004117363
1984-01-01,0.651135377537983
1985-01-01,0.653260116626058
1986-01-01,0.670211096754983
1987-01-01,0.680364422957027
1988-01-01,0.694722559786157
1989-01-01,0.740033102501698
1990-01-01,0.720454328430094
1991-01-01,0.815033007903978
1992-01-01,0.830400718923684
1993-01-01,0.780275985408821
1994-01-01,0.71453066201596
1995-01-01,0.674737520294428
1996-01-01,0.679172776475895
1997-01-01,0.662401107338766
1998-01-01,0.640963607210693
1999-01-01,0.627953641856067
2000-01-01,0.611857021863045
2001-01-01,0.610670985947536
2002-01-01,0.614298292108501
2003-01-01,0.612475856199637
2004-01-01,0.628649606683524
2005-01-01,0.655960589314446
2006-01-01,0.750133662480195
2007-01-01,0.810250365886958
2008-01-01,0.832832411847704
2009-01-01,0.743528371475506
2010-01-01,0.630157642026148
2011-01-01,0.424833518757794
2012-01-01,0.554040024064562
2013-01-01,0.568463226504008
2014-01-01,0.572885172809109
2015-01-01,0.560502439889675
2016-01-01,0.569985664115251
2017-01-01,0.507590433045152
2018-01-01,0.486683359413377
2019-01-01,0.422339739947546
2020-01-01,0.405023510702989
2021-01-01,-0.0362679507636301
2022-01-01,0.249443038336338
