DATE,CPGREN01DEM659N
1963-01-01,2.4822695035461
1963-02-01,3.90070921985816
1963-03-01,3.54609929078015
1963-04-01,3.94265232974908
1963-05-01,3.59712230215826
1963-06-01,2.86738351254476
1963-07-01,2.85714285714283
1963-08-01,2.84697508896797
1963-09-01,2.46478873239437
1963-10-01,3.4843205574913
1963-11-01,3.47222222222223
1963-12-01,3.81944444444445
1964-01-01,3.46020761245673
1964-02-01,2.04778156996586
1964-03-01,2.05479452054793
1964-04-01,1.37931034482758
1964-05-01,1.73611111111113
1964-06-01,2.43902439024393
1964-07-01,2.08333333333334
1964-08-01,1.73010380622837
1964-09-01,2.06185567010308
1964-10-01,0.336700336700352
1964-11-01,0.671140939597304
1964-12-01,0.334448160535112
1965-01-01,2.00668896321071
1965-02-01,2.00668896321071
1965-03-01,2.34899328859061
1965-04-01,1.36054421768707
1965-05-01,1.70648464163822
1965-06-01,1.70068027210884
1965-07-01,2.0408163265306
1965-08-01,2.38095238095236
1965-09-01,2.02020202020203
1965-10-01,3.02013422818793
1965-11-01,2.33333333333336
1965-12-01,2.66666666666668
1966-01-01,0.983606557377053
1966-02-01,1.31147540983608
1966-03-01,0.983606557377053
1966-04-01,1.00671140939596
1966-05-01,0.671140939597304
1966-06-01,0.668896321070223
1966-07-01,0.666666666666697
1966-08-01,1.32890365448507
1966-09-01,1.32013201320134
1966-10-01,0.977198697068388
1966-11-01,1.3029315960912
1966-12-01,1.2987012987013
1967-01-01,1.94805194805194
1967-02-01,1.61812297734625
1967-03-01,1.94805194805194
1967-04-01,0
1967-05-01,0.333333333333328
1967-06-01,0.332225913621298
1967-07-01,1.9867549668874
1967-08-01,1.96721311475411
1967-09-01,1.3029315960912
1967-10-01,1.61290322580648
1967-11-01,1.60771704180064
1967-12-01,1.92307692307693
1968-01-01,6.36942675159239
1968-02-01,6.68789808917198
1968-03-01,5.41401273885353
1968-04-01,7.97342192691033
1968-05-01,6.31229235880401
1968-06-01,6.29139072847682
1968-07-01,4.54545454545455
1968-08-01,4.50160771704181
1968-09-01,5.4662379421222
1968-10-01,5.7142857142857
1968-11-01,6.0126582278481
1968-12-01,5.34591194968552
1969-01-01,0.299401197604767
1969-02-01,-1.19402985074625
1969-03-01,0
1969-04-01,0
1969-05-01,0.625000000000009
1969-06-01,0
1969-07-01,-0.310559006211175
1969-08-01,-0.923076923076927
1969-09-01,-0.914634146341467
1969-10-01,0
1969-11-01,0
1969-12-01,0.597014925373143
1970-01-01,1.19402985074627
1970-02-01,2.416918429003
1970-03-01,2.11480362537765
1970-04-01,3.07692307692306
1970-05-01,3.72670807453418
1970-06-01,4.67289719626168
1970-07-01,4.98442367601245
1970-08-01,6.83229813664596
1970-09-01,7.07692307692305
1970-10-01,6.006006006006
1970-11-01,6.26865671641792
1970-12-01,6.2314540059347
1971-01-01,7.07964601769913
1971-02-01,8.55457227138644
1971-03-01,8.87573964497039
1971-04-01,8.35820895522389
1971-05-01,7.48502994011974
1971-06-01,6.54761904761903
1971-07-01,6.2314540059347
1971-08-01,3.19767441860463
1971-09-01,3.1609195402299
1971-10-01,1.41643059490084
1971-11-01,1.68539325842696
1971-12-01,2.23463687150839
1972-01-01,2.75482093663912
1972-02-01,2.44565217391304
1972-03-01,2.17391304347826
1972-04-01,3.03030303030301
1972-05-01,4.17827298050138
1972-06-01,3.91061452513967
1972-07-01,4.18994413407823
1972-08-01,5.35211267605634
1972-09-01,5.01392757660166
1972-10-01,7.26256983240225
1972-11-01,6.9060773480663
1972-12-01,7.65027322404372
1973-01-01,7.77479892761394
1973-02-01,7.69230769230771
1973-03-01,8.51063829787234
1973-04-01,7.4866310160428
1973-05-01,9.62566844919787
1973-06-01,13.4408602150538
1973-07-01,15.8176943699732
1973-08-01,15.24064171123
1973-09-01,16.9761273209549
1973-10-01,19.2708333333333
1973-11-01,33.0749354005168
1973-12-01,40.3553299492386
1974-01-01,30.8457711442786
1974-02-01,31.7733990147783
1974-03-01,26.2254901960784
1974-04-01,22.3880597014925
1974-05-01,21.219512195122
1974-06-01,17.7725118483412
1974-07-01,16.8981481481481
1974-08-01,18.0974477958237
1974-09-01,16.7800453514739
1974-10-01,14.6288209606987
1974-11-01,2.1359223300971
1974-12-01,-5.06329113924052
1975-01-01,3.61216730038021
1975-02-01,1.30841121495327
1975-03-01,5.24271844660195
1975-04-01,10.9756097560976
1975-05-01,9.6579476861167
1975-06-01,12.2736418511067
1975-07-01,11.8811881188119
1975-08-01,12.180746561886
1975-09-01,15.5339805825243
1975-10-01,14.8571428571429
1975-11-01,14.4486692015209
1975-12-01,14.0952380952381
1976-01-01,11.1926605504587
1976-02-01,11.9926199261993
1976-03-01,10.8856088560886
1976-04-01,11.3553113553113
1976-05-01,11.0091743119266
1976-06-01,8.96057347670249
1976-07-01,7.2566371681416
1976-08-01,6.47985989492121
1976-09-01,2.52100840336134
1976-10-01,1.16086235489221
1976-11-01,0.166112956810649
1976-12-01,1.50250417362272
1977-01-01,0.990099009900994
1977-02-01,1.31795716639209
1977-03-01,1.6638935108153
1977-04-01,0.657894736842094
1977-05-01,0.826446280991722
1977-06-01,0.493421052631571
1977-07-01,0.825082508250832
1977-08-01,0.328947368421047
1977-09-01,0.163934426229506
1977-10-01,0.327868852459011
1977-11-01,1.49253731343283
1977-12-01,1.15131578947369
1978-01-01,1.1437908496732
1978-02-01,0.65040650406503
1978-03-01,2.29132569558102
1978-04-01,1.9607843137255
1978-05-01,2.45901639344262
1978-06-01,2.12765957446809
1978-07-01,2.12765957446809
1978-08-01,2.78688524590163
